Code point range	Block name
1EC70 - 1ECBF	IsIndicSiyaqNumbers
1ED00 - 1ED4F	IsOttomanSiyaqNumbers
1EE00 - 1EEFF	IsArabicMathematicalAlphabeticSymbols
1F000 - 1F02F	IsMahjongTiles
1F030 - 1F09F	IsDominoTiles
1F0A0 - 1F0FF	IsPlayingCards
1F100 - 1F1FF	IsEnclosedAlphanumericSupplement
1F200 - 1F2FF	IsEnclosedIdeographicSupplement
1F300 - 1F5FF	IsMiscellaneousSymbolsandPictographs
1F600 - 1F64F	IsEmoticons
1F650 - 1F67F	IsOrnamentalDingbats
1F680 - 1F6FF	IsTransportandMapSymbols
1F700 - 1F77F	IsAlchemicalSymbols
1F780 - 1F7FF	IsGeometricShapesExtended
1F800 - 1F8FF	IsSupplementalArrows-C
1F900 - 1F9FF	IsSupplementalSymbolsandPictographs
1FA00 - 1FA6F	IsChessSymbols
1FA70 - 1FAFF	IsSymbolsandPictographsExtended-A
1FB00 - 1FBFF	IsSymbolsforLegacyComputing
20000 - 2A6DF	IsCJKUnifiedIdeographsExtensionB
2A700 - 2B73F	IsCJKUnifiedIdeographsExtensionC
2B740 - 2B81F	IsCJKUnifiedIdeographsExtensionD
2B820 - 2CEAF	IsCJKUnifiedIdeographsExtensionE
2CEB0 - 2EBEF	IsCJKUnifiedIdeographsExtensionF
2EBF0 - 2EE5F	IsCJKUnifiedIdeographsExtensionI
2F800 - 2FA1F	IsCJKCompatibilityIdeographsSupplement
30000 - 3134F	IsCJKUnifiedIdeographsExtensionG
31350 - 323AF	IsCJKUnifiedIdeographsExtensionH
323B0 - 3347F	IsCJKUnifiedIdeographsExtensionJ
E0000 - E007F IsTags
E0100 - E01EF IsVariationSelectorsSupplement
F0000 - FFFFF	IsSupplementaryPrivateUseArea-A
100000 - 10FFFF IsSupplementaryPrivateUseArea-B
